name,title,license,formats,num_resources,metadata_modified,url
geoportal-domovi-za-djecu,Geoportal Domovi za djecu,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2025-05-20T09:30:30.991431,https://data.zagreb.hr/dataset/geoportal-domovi-za-djecu
geoportal-domovi-za-starije-osobe,Geoportal Domovi za starije osobe,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-10-28T13:46:46.513407,https://data.zagreb.hr/dataset/geoportal-domovi-za-starije-osobe
geoportal-domovi-zdravlja,Geoportal Domovi zdravlja,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:35:41.638916,https://data.zagreb.hr/dataset/geoportal-domovi-zdravlja
geoportal-druge-javne-ustanove,Geoportal druge javne ustanove,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:41:52.004576,https://data.zagreb.hr/dataset/geoportal-druge-javne-ustanove
geoportal-elektricne-punionice,Geoportal električne punionice,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T14:02:45.627319,https://data.zagreb.hr/dataset/geoportal-elektricne-punionice
geoportal-gradevinsko-zemljiste-1959-i-1984,Geoportal Građevinsko zemljište 1959. i 1984.,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-09-17T09:29:10.125652,https://data.zagreb.hr/dataset/geoportal-gradevinsko-zemljiste-1959-i-1984
geoportal-gradska-trgovacka-drustva,Geoportal gradska trgovačka društva,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP|XLSX,6,2024-03-21T11:35:46.957927,https://data.zagreb.hr/dataset/geoportal-gradska-trgovacka-drustva
geoportal-gradske-trznice,Geoportal gradske tržnice,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-28T09:30:16.298621,https://data.zagreb.hr/dataset/geoportal-gradske-trznice
geoportal-gradski-vrt,Geoportal gradski vrt,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:36:35.731838,https://data.zagreb.hr/dataset/geoportal-gradski-vrt
geoportal-gradski-vrt-point,Geoportal gradski vrt Point,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-28T09:28:08.411324,https://data.zagreb.hr/dataset/geoportal-gradski-vrt-point
