dataset_naslov,dataset_name,format,resurs,url,zadnja_izmjena
Geoportal Hrvatski zavod za socijalni rad,geoportal-centar-za-socijalnu-skrb,GEOJSON,Geoportal Hrvatski zavod za socijalni rad,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_centar_za_socijalnu_skrb/FeatureServer/replicafilescache/Geoportal_centar_za_socijalnu_skrb_-2638481923376160763.geojson,2023-01-09
Geoportal Javna parkirališta za bicikle,geoportal-javna-parkiralista-za-bicikle,CSV,Geoportal Javna parkirališta za bicikle,https://opendata.arcgis.com/api/v3/datasets/04012b0e4968447c978a6ee494d76495_2/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-06-23
Geoportal Javna parkirališta za bicikle,geoportal-javna-parkiralista-za-bicikle,GEOJSON,Geoportal Javna parkirališta za bicikle,https://opendata.arcgis.com/api/v3/datasets/04012b0e4968447c978a6ee494d76495_2/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-10
Geoportal Javne garaže,geoportal-javne-garaze,CSV,Geoportal Javne garaže,https://opendata.arcgis.com/api/v3/datasets/3e3484aca5284b16b4a1c41bd6594711_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-06-23
Geoportal Javne garaže,geoportal-javne-garaze,GEOJSON,Geoportal Javne garaže,https://opendata.arcgis.com/api/v3/datasets/3e3484aca5284b16b4a1c41bd6594711_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-10
Geoportal Javne površine za pse,geoportal-javne-povrsine-za-pse,CSV,Geoportal Javne površine za pse,https://opendata.arcgis.com/api/v3/datasets/78e1786ccdd544cfb8465b73051f22c9_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-06-23
Geoportal Javne površine za pse,geoportal-javne-povrsine-za-pse,GEOJSON,Geoportal Javne površine za pse,https://opendata.arcgis.com/api/v3/datasets/78e1786ccdd544cfb8465b73051f22c9_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-10
Geoportal Javni zdenci,geoportal_javni_zdenci,GEOJSON,Geoportal Javni zdenci,https://data.zagreb.hr/dataset/0d1c65b5-6e8f-4b6a-be90-cc9ecb6fa374/resource/2010797b-3e1e-4a43-9a5a-b1619722d2ac/download/data.geojson,2026-09-05
Geoportal Kulturne ustanove,geoportal-kulturne-ustanove,CSV,Geoportal Kultura,https://opendata.arcgis.com/api/v3/datasets/83db22aeb39441ec84911ee94f26e746_0/downloads/data?format=csv&spatialRefId=4326&where=1=1,2022-07-14
Geoportal Kulturne ustanove,geoportal-kulturne-ustanove,GEOJSON,Geoportal Kulturne ustanove,https://opendata.arcgis.com/api/v3/datasets/83db22aeb39441ec84911ee94f26e746_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-17
Geoportal Kvaliteta zraka,geoportal-kvaliteta-zraka,CSV,Geoportal Kvaliteta zraka,https://opendata.arcgis.com/api/v3/datasets/ed9898e63ec94770a8fb37713c36f8ca_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2023-03-01
Geoportal Kvaliteta zraka,geoportal-kvaliteta-zraka,GEOJSON,Geoportal Kvaliteta zraka,https://opendata.arcgis.com/api/v3/datasets/ed9898e63ec94770a8fb37713c36f8ca_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-03-01
Geoportal Ljekarne,geoportal-ljekarne,CSV,Geoportal Ljekarne,https://opendata.arcgis.com/api/v3/datasets/861f84594b034965b4c0ac96cf4083b0_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-06-23
Geoportal Ljekarne,geoportal-ljekarne,GEOJSON,Geoportal Ljekarne,https://opendata.arcgis.com/api/v3/datasets/861f84594b034965b4c0ac96cf4083b0_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-11
Geoportal Mjesna samouprava,geoportal-mjesna-samouprava,CSV,Geoportal Mjesna samouprava,https://opendata.arcgis.com/api/v3/datasets/f8f6eaeae11b408eaadf20474809a1b3_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-07-14
Geoportal Mjesna samouprava,geoportal-mjesna-samouprava,GEOJSON,Geoportal Mjesna samouprava,https://opendata.arcgis.com/api/v3/datasets/f8f6eaeae11b408eaadf20474809a1b3_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-17
Geoportal Nadležne institucije socijalne zaštite,nadlezne-institucije-socijalne-zastite,CSV,Nadležne institucije socijalne zaštite,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_nadlezna_institucija/FeatureServer/replicafilescache/Geoportal_nadlezna_institucija_8131633363730224488.csv,2022-07-14
Geoportal Nadležne institucije socijalne zaštite,nadlezne-institucije-socijalne-zastite,GEOJSON,Geoportal Nadležne institucije socijalne zaštite,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_nadlezna_institucija/FeatureServer/replicafilescache/Geoportal_nadlezna_institucija_2079182892719747966.geojson,2023-01-17
Geoportal Nadzorne kamere,geoportal-nadzorne-kamere,CSV,Geoportal Nadzorne kamere na području Grada Zagreba.,https://opendata.arcgis.com/api/v3/datasets/16014fb747334e5bb2eee37360d45036_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-07-14
Geoportal Nadzorne kamere,geoportal-nadzorne-kamere,GEOJSON,Geoportal Nadzorne kamere,https://opendata.arcgis.com/api/v3/datasets/81ae155978074414a306970b07fcde95_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-17
